KC Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
M num5	1.000000	0.510000	0.310000	0.250000	0.170000	0.080000	0.090000	0.040000	0.070000	0.050000	0.030000	0.050000	0.070000	0.010000	0.030000	0.010000	0.060000	0.070000	0.040000	0.000000	0.050000	0.050000	0.040000	0.020000	0.040000	0.030000	0.040000	0.020000	0.020000	0.020000
M den5	0.960000	0.550000	0.260000	0.200000	0.130000	0.080000	0.080000	0.030000	0.080000	0.070000	0.050000	0.070000	0.060000	0.020000	0.030000	0.020000	0.040000	0.060000	0.050000	0.000000	0.010000	0.010000	0.030000	0.010000	0.010000	0.010000	0.020000	0.040000	0.020000	0.010000
M done	0.840000	0.300000	0.190000	0.060000	0.050000	0.010000	0.010000	0.040000	0.000000	0.000000	0.000000	0.020000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.010000	0.000000	0.000000	0.010000	0.000000	0.010000
AS den5	1.000000	0.380000	0.270000	0.150000	0.060000	0.040000	0.030000	0.060000	0.020000	0.060000	0.000000	0.020000	0.000000	0.010000	0.030000	0.010000	0.020000	0.020000	0.010000	0.040000	0.030000	0.010000	0.010000	0.030000	0.010000	0.010000	0.020000	0.020000	0.010000	0.010000
AS num5	0.990000	0.380000	0.220000	0.090000	0.110000	0.060000	0.090000	0.040000	0.030000	0.040000	0.040000	0.050000	0.060000	0.050000	0.040000	0.040000	0.070000	0.020000	0.030000	0.010000	0.050000	0.080000	0.030000	0.020000	0.040000	0.020000	0.020000	0.040000	0.050000	0.030000
AS done	0.780000	0.200000	0.060000	0.060000	0.040000	0.010000	0.000000	0.000000	0.000000	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AD check_convert	1.000000	0.040000	0.010000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AD den3	1.000000	0.670000	0.440000	0.220000	0.080000	0.050000	0.010000	0.000000	0.020000	0.010000	0.000000	0.010000	0.000000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.010000	0.010000	0.000000	0.000000	0.000000	0.000000
AD num3	1.000000	0.860000	0.580000	0.370000	0.200000	0.090000	0.110000	0.010000	0.060000	0.020000	0.000000	0.020000	0.020000	0.020000	0.010000	0.000000	0.000000	0.000000	0.000000	0.030000	0.010000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000
AD den4	1.000000	0.750000	0.530000	0.420000	0.190000	0.100000	0.120000	0.000000	0.100000	0.040000	0.020000	0.000000	0.020000	0.030000	0.020000	0.010000	0.030000	0.040000	0.000000	0.000000	0.000000	0.020000	0.000000	0.010000	0.020000	0.010000	0.000000	0.000000	0.000000	0.000000
AD num4	1.000000	0.810000	0.710000	0.460000	0.300000	0.280000	0.190000	0.160000	0.130000	0.080000	0.040000	0.030000	0.060000	0.040000	0.020000	0.040000	0.040000	0.070000	0.020000	0.000000	0.040000	0.030000	0.010000	0.030000	0.000000	0.020000	0.000000	0.010000	0.020000	0.000000
AD den5	1.000000	0.980000	0.860000	0.600000	0.430000	0.290000	0.310000	0.230000	0.180000	0.110000	0.210000	0.100000	0.070000	0.120000	0.040000	0.050000	0.030000	0.160000	0.040000	0.020000	0.050000	0.060000	0.070000	0.040000	0.020000	0.040000	0.030000	0.050000	0.010000	0.010000
AD num5	1.000000	0.930000	0.810000	0.660000	0.520000	0.200000	0.350000	0.310000	0.260000	0.220000	0.220000	0.220000	0.130000	0.160000	0.100000	0.110000	0.060000	0.140000	0.070000	0.110000	0.110000	0.160000	0.100000	0.050000	0.110000	0.080000	0.050000	0.070000	0.050000	0.070000
AD done	0.820000	0.500000	0.250000	0.150000	0.020000	0.020000	0.030000	0.020000	0.030000	0.050000	0.000000	0.010000	0.020000	0.020000	0.020000	0.010000	0.000000	0.010000	0.020000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000
M check_convert	1.000000	1.000000																												
M den3	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000																								
M num4	1.000000	1.000000	1.000000																											
M num3	1.000000	1.000000	1.000000																											
M den4	1.000000	1.000000	1.000000	1.000000	1.000000																									
AS check_convert	1.000000	1.000000	1.000000																											
AS num3	1.000000	1.000000	1.000000																											
AS den4	1.000000	1.000000	1.000000																											
AS den3	1.000000	1.000000	1.000000																											
AS num4	1.000000	1.000000	1.000000	1.000000																										
